invoice_id,subscription_id,customer_id,invoice_date,amount,discount_type,discount_value,net_amount,currency
INV0000001,S000001,C10000,2023-06-01,49.0,PERCENT,12.25,36.75,USD
INV0000002,S000001,C10000,2023-07-01,49.0,,0.0,49.0,USD
INV0000003,S000001,C10000,2023-08-01,49.0,,0.0,49.0,USD
INV0000004,S000001,C10000,2023-09-01,49.0,PERCENT,12.25,36.75,USD
INV0000005,S000001,C10000,2023-10-01,49.0,,0.0,49.0,USD
INV0000006,S000001,C10000,2023-11-01,49.0,,0.0,49.0,USD
INV0000007,S000001,C10000,2023-12-01,49.0,PERCENT,9.8,39.2,USD
INV0000008,S000001,C10000,2024-01-01,49.0,,0.0,49.0,USD
INV0000009,S000001,C10000,2024-02-01,49.0,PERCENT,4.9,44.1,USD
INV0000010,S000001,C10000,2024-03-01,49.0,PERCENT,9.8,39.2,USD
INV0000011,S000001,C10000,2024-04-01,49.0,,0.0,49.0,USD
INV0000012,S000001,C10000,2024-05-01,49.0,,0.0,49.0,USD
INV0000013,S000001,C10000,2024-06-01,49.0,AMOUNT,15.0,34.0,USD
INV0000014,S000001,C10000,2024-07-01,49.0,,0.0,49.0,USD
INV0000015,S000001,C10000,2024-08-01,49.0,PERCENT,12.25,36.75,USD
INV0000016,S000001,C10000,2024-09-01,49.0,PERCENT,7.35,41.65,USD
INV0000017,S000001,C10000,2024-10-01,49.0,PERCENT,4.9,44.1,USD
INV0000018,S000001,C10000,2024-11-01,49.0,PERCENT,7.35,41.65,USD
INV0000019,S000001,C10000,2024-12-01,49.0,,0.0,49.0,USD
INV0000020,S000001,C10000,2025-01-01,49.0,AMOUNT,25.0,24.0,USD
INV0000021,S000001,C10000,2025-02-01,49.0,AMOUNT,10.0,39.0,USD
INV0000022,S000001,C10000,2025-03-01,49.0,PERCENT,12.25,36.75,USD
INV0000023,S000001,C10000,2025-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000024,S000001,C10000,2025-05-01,49.0,PERCENT,12.25,36.75,USD
INV0000025,S000001,C10000,2025-06-01,49.0,PERCENT,9.8,39.2,USD
INV0000026,S000001,C10000,2025-07-01,49.0,AMOUNT,15.0,34.0,USD
INV0000027,S000001,C10000,2025-08-01,49.0,AMOUNT,10.0,39.0,USD
INV0000028,S000001,C10000,2025-09-01,49.0,PERCENT,12.25,36.75,USD
INV0000029,S000002,C10001,2023-07-01,49.0,,0.0,49.0,USD
INV0000030,S000002,C10001,2023-08-01,49.0,,0.0,49.0,USD
INV0000031,S000002,C10001,2023-09-01,49.0,,0.0,49.0,USD
INV0000032,S000002,C10001,2023-10-01,49.0,PERCENT,7.35,41.65,USD
INV0000033,S000002,C10001,2023-11-01,49.0,PERCENT,12.25,36.75,USD
INV0000034,S000002,C10001,2023-12-01,49.0,,0.0,49.0,USD
INV0000035,S000002,C10001,2024-01-01,49.0,,0.0,49.0,USD
INV0000036,S000002,C10001,2024-02-01,49.0,,0.0,49.0,USD
INV0000037,S000002,C10001,2024-03-01,49.0,PERCENT,4.9,44.1,USD
INV0000038,S000002,C10001,2024-04-01,49.0,,0.0,49.0,USD
INV0000039,S000002,C10001,2024-05-01,49.0,PERCENT,7.35,41.65,USD
INV0000040,S000002,C10001,2024-06-01,49.0,AMOUNT,25.0,24.0,USD
INV0000041,S000002,C10001,2024-07-01,49.0,PERCENT,7.35,41.65,USD
INV0000042,S000002,C10001,2024-08-01,49.0,PERCENT,9.8,39.2,USD
INV0000043,S000002,C10001,2024-09-01,49.0,PERCENT,9.8,39.2,USD
INV0000044,S000002,C10001,2024-10-01,49.0,PERCENT,7.35,41.65,USD
INV0000045,S000002,C10001,2024-11-01,49.0,AMOUNT,10.0,39.0,USD
INV0000046,S000002,C10001,2024-12-01,49.0,PERCENT,7.35,41.65,USD
INV0000047,S000002,C10001,2025-01-01,49.0,PERCENT,12.25,36.75,USD
INV0000048,S000002,C10001,2025-02-01,49.0,PERCENT,4.9,44.1,USD
INV0000049,S000002,C10001,2025-03-01,49.0,,0.0,49.0,USD
INV0000050,S000002,C10001,2025-04-01,49.0,AMOUNT,25.0,24.0,USD
INV0000051,S000002,C10001,2025-05-01,49.0,PERCENT,4.9,44.1,USD
INV0000052,S000002,C10001,2025-06-01,49.0,PERCENT,12.25,36.75,USD
INV0000053,S000002,C10001,2025-07-01,49.0,,0.0,49.0,USD
INV0000054,S000002,C10001,2025-08-01,49.0,,0.0,49.0,USD
INV0000055,S000002,C10001,2025-09-01,49.0,,0.0,49.0,USD
INV0000056,S000003,C10002,2024-06-01,199.0,AMOUNT,5.0,194.0,USD
INV0000057,S000003,C10002,2024-07-01,199.0,AMOUNT,25.0,174.0,USD
INV0000058,S000003,C10002,2024-08-01,199.0,AMOUNT,5.0,194.0,USD
INV0000059,S000003,C10002,2024-09-01,199.0,,0.0,199.0,USD
INV0000060,S000003,C10002,2024-10-01,199.0,,0.0,199.0,USD
INV0000061,S000003,C10002,2024-11-01,199.0,,0.0,199.0,USD
INV0000062,S000003,C10002,2024-12-01,199.0,AMOUNT,15.0,184.0,USD
INV0000063,S000003,C10002,2025-01-01,199.0,AMOUNT,15.0,184.0,USD
INV0000064,S000004,C10002,2025-01-01,49.0,AMOUNT,25.0,24.0,USD
INV0000065,S000004,C10002,2025-02-01,49.0,,0.0,49.0,USD
INV0000066,S000004,C10002,2025-03-01,49.0,,0.0,49.0,USD
INV0000067,S000004,C10002,2025-04-01,49.0,AMOUNT,10.0,39.0,USD
INV0000068,S000004,C10002,2025-05-01,49.0,PERCENT,7.35,41.65,USD
INV0000069,S000004,C10002,2025-06-01,49.0,,0.0,49.0,USD
INV0000070,S000004,C10002,2025-07-01,49.0,AMOUNT,15.0,34.0,USD
INV0000071,S000004,C10002,2025-08-01,49.0,PERCENT,9.8,39.2,USD
INV0000072,S000004,C10002,2025-09-01,49.0,,0.0,49.0,USD
INV0000073,S000005,C10003,2024-05-01,199.0,AMOUNT,10.0,189.0,USD
INV0000074,S000005,C10003,2024-06-01,199.0,,0.0,199.0,USD
INV0000075,S000005,C10003,2024-07-01,199.0,PERCENT,39.8,159.2,USD
INV0000076,S000005,C10003,2024-08-01,199.0,,0.0,199.0,USD
