payment_id,invoice_id,customer_id,payment_date,amount_paid,method,status
PAY00000001,INV0000001,C10000,2023-06-04,36.75,ach,settled
PAY00000002,INV0000002,C10000,2023-07-01,49.0,ach,settled
PAY00000003,INV0000003,C10000,2023-08-01,49.0,ach,settled
PAY00000004,INV0000004,C10000,2023-09-02,36.75,card,settled
PAY00000005,INV0000005,C10000,2023-10-03,49.0,wire,settled
PAY00000006,INV0000006,C10000,2023-11-01,49.0,wire,settled
PAY00000007,INV0000007,C10000,2023-12-02,39.2,ach,settled
PAY00000008,INV0000008,C10000,2024-01-01,49.0,ach,settled
PAY00000009,INV0000009,C10000,2024-02-16,44.1,ach,settled
PAY00000010,INV0000010,C10000,,0.0,,failed
PAY00000011,INV0000011,C10000,2024-04-02,49.0,ach,settled
PAY00000012,INV0000012,C10000,2024-05-02,49.0,card,settled
PAY00000013,INV0000013,C10000,2024-06-08,34.0,wire,settled
PAY00000014,INV0000014,C10000,2024-07-11,49.0,card,settled
PAY00000015,INV0000015,C10000,2024-08-02,36.75,wire,settled
PAY00000016,INV0000016,C10000,2024-09-08,41.65,ach,settled
PAY00000017,INV0000017,C10000,2024-10-04,44.1,wire,settled
PAY00000018,INV0000018,C10000,2024-11-01,41.65,wire,settled
PAY00000019,INV0000019,C10000,2024-12-03,49.0,card,settled
PAY00000020,INV0000020,C10000,2025-01-01,24.0,ach,settled
PAY00000021,INV0000021,C10000,2025-02-02,39.0,wire,settled
PAY00000022,INV0000022,C10000,2025-03-01,36.75,card,settled
PAY00000023,INV0000023,C10000,2025-04-01,39.0,card,settled
PAY00000024,INV0000024,C10000,2025-05-03,36.75,ach,settled
PAY00000025,INV0000025,C10000,2025-06-04,39.2,ach,settled
PAY00000026,INV0000026,C10000,2025-07-01,34.0,ach,settled
PAY00000027,INV0000027,C10000,2025-09-10,39.0,ach,settled
PAY00000028,INV0000028,C10000,2025-09-02,36.75,card,settled
PAY00000029,INV0000029,C10001,2023-07-02,49.0,wire,settled
PAY00000030,INV0000030,C10001,2023-08-06,49.0,card,settled
PAY00000031,INV0000031,C10001,2023-09-08,49.0,wire,settled
PAY00000032,INV0000032,C10001,2023-10-11,41.65,ach,settled
